account,userType,percent,tokenAmount
VOIJEDAO3FPOINI65JWXGCR3MI4QYXFWJ5ERATAF3DSWPO5RAVRQ4EV4NM,7,0.61,15164.644714 VOI
ACP4CXBXEVEYH6LKZRFWF2HG3FEESIWJWTYBSTQELR7K46G3IHYFAPFX3E,10,0.87,21663.778163 VOI
DTHIRTEENUHXDHS7IZZBUPHXYWNT5TSSAAUX6NKTLJBR5ABOPTHNEA4DCU,12,1.04,25996.533795 VOI
PINWUFIGWV7IK2YGC2KP4TOVQA2UMWM5GSTIKG5MHJUSPJ5DCHBNSPXJKE,9,0.78,19497.400347 VOI
6G7SOYVKKVG4BFK25F4GC6JV2RCLPOBMFCHC3L6XF6SDN7XHYRMDPVGCXE,13,1.13,28162.911612 VOI
EX42AQ6AU5ZX6EUDSP6CMKBOPOM4EXUJPDURGADOPT6VQKPSG5Z2JVVOQY,11,0.95,23830.155979 VOI
YZAVCSLN7TWA3MNXHSPCGI2UBACDFVCTS6WMPNTBAKVMBBNPCUOVS2SKSA,10,0.87,21663.778163 VOI
6KRT3WYH6YU2GSXKNU4J4DINEQRQ7G5F3TSVJ72MJCJ3DB3ONROKYZW35Q,13,1.13,28162.911612 VOI
QIWYSUIDMMYHP3F2LRTWFPCADWXHCE26EMKITGOOP22WLKOCDG62CBYCUU,7,0.61,15164.644714 VOI
HAHARFG7KQP3DUXA55WRU6MJLNY4LPLVDHIYK3F45RDK4HHSNB2BJBPXAY,9,0.78,19497.400347 VOI
WBFLO2RNV7BGO3WJFCU3BEUH56KC4WOUHKEYQBXVBQIFSPKNSPYZBVETPI,8,0.69,17331.02253 VOI
FQBOAHRBYSCNQRYYDY2CJXM4YJ65J2M4PQME7C7ZMY24SVNU2XFPQSKZY4,13,1.13,28162.911612 VOI
LIVOIC24OM5PVF3YOTFWHYS3AVNAD4YYEMU76IQ63MGUBQIAFWDGRB4EDU,20,1.73,43327.556326 VOI
WD6M4AZPEUXJQGO6II2XH46Z3QFZYXRNRW5S33YHPN7TWKQT4474Z4QSGI,8,0.69,17331.02253 VOI
YN3K4TCNIK6LKXHNLFQNXMMQ7ELPKATNXOZYRZNT5IQRMUL5BSQFAOH5OA,10,0.87,21663.778163 VOI
